TID;OMRÅDE;INDHOLD
2010K1;Hele landet;122116
2010K1;Region Hovedstaden;47990
2010K1;København;22404
2010K1;Frederiksberg;2072
2010K1;Dragør;149
2010K1;Tårnby;1599
2010K1;Albertslund;747
2010K1;Ballerup;1213
2010K1;Brøndby;854
2010K1;Gentofte;1391
2010K1;Gladsaxe;1275
2010K1;Glostrup;608
2010K1;Herlev;801
2010K1;Hvidovre;1470
2010K1;Høje-Taastrup;1128
2010K1;Ishøj;656
2010K1;Lyngby-Taarbæk;1272
2010K1;Rødovre;1196
2010K1;Vallensbæk;257
2010K1;Allerød;514
2010K1;Egedal;589
2010K1;Fredensborg;713
2010K1;Frederikssund;715
2010K1;Furesø;805
2010K1;Gribskov;727
2010K1;Halsnæs;584
2010K1;Helsingør;1584
2010K1;Hillerød;933
2010K1;Hørsholm;416
2010K1;Rudersdal;885
2010K1;Bornholm;433
2010K1;Christiansø;0
2010K1;Region Sjælland;16147
2010K1;Greve;1251
2010K1;Køge;1435
2010K1;Lejre;287
2010K1;Roskilde;1641
2010K1;Solrød;501
2010K1;Faxe;670
2010K1;Guldborgsund;1207
2010K1;Holbæk;1266
2010K1;Kalundborg;948
2010K1;Lolland;1106
2010K1;Næstved;1342
2010K1;Odsherred;605
2010K1;Ringsted;722
2010K1;Slagelse;1657
2010K1;Sorø;532
2010K1;Stevns;266
2010K1;Vordingborg;711
2010K1;Region Syddanmark;24693
2010K1;Assens;677
2010K1;Faaborg-Midtfyn;692
2010K1;Kerteminde;323
2010K1;Langeland;176
2010K1;Middelfart;702
2010K1;Nordfyns;489
2010K1;Nyborg;663
2010K1;Odense;5156
2010K1;Svendborg;959
2010K1;Ærø;50
2010K1;Billund;625
2010K1;Esbjerg;2678
2010K1;Fanø;29
2010K1;Fredericia;1246
2010K1;Haderslev;1008
2010K1;Kolding;1861
2010K1;Sønderborg;1239
2010K1;Tønder;642
2010K1;Varde;703
2010K1;Vejen;758
2010K1;Vejle;2414
2010K1;Aabenraa;1603
2010K1;Region Midtjylland;22268
2010K1;Favrskov;581
2010K1;Hedensted;644
2010K1;Horsens;1710
2010K1;Norddjurs;614
2010K1;Odder;277
2010K1;Randers;1970
2010K1;Samsø;25
2010K1;Silkeborg;1424
2010K1;Skanderborg;753
2010K1;Syddjurs;651
2010K1;Aarhus;7563
2010K1;Herning;1397
2010K1;Holstebro;806
2010K1;Ikast-Brande;646
2010K1;Lemvig;178
2010K1;Ringkøbing-Skjern;774
2010K1;Skive;654
2010K1;Struer;271
2010K1;Viborg;1330
2010K1;Region Nordjylland;9398
2010K1;Brønderslev;445
2010K1;Frederikshavn;1028
2010K1;Hjørring;1057
2010K1;Jammerbugt;545
2010K1;Læsø;15
2010K1;Mariagerfjord;684
2010K1;Morsø;299
2010K1;Rebild;291
2010K1;Thisted;548
2010K1;Vesthimmerlands;489
2010K1;Aalborg;3997
2010K1;Uoplyst kommune;1620
2010K2;Hele landet;131799
2010K2;Region Hovedstaden;49670
2010K2;København;23633
2010K2;Frederiksberg;2177
2010K2;Dragør;186
2010K2;Tårnby;1499
2010K2;Albertslund;843
2010K2;Ballerup;1249
2010K2;Brøndby;815
2010K2;Gentofte;1446
2010K2;Gladsaxe;1319
2010K2;Glostrup;699
2010K2;Herlev;811
2010K2;Hvidovre;1458
2010K2;Høje-Taastrup;1174
2010K2;Ishøj;735
2010K2;Lyngby-Taarbæk;1322
2010K2;Rødovre;1099
2010K2;Vallensbæk;300
2010K2;Allerød;535
2010K2;Egedal;588
2010K2;Fredensborg;628
2010K2;Frederikssund;724
2010K2;Furesø;805
2010K2;Gribskov;691
2010K2;Halsnæs;554
2010K2;Helsingør;1612
2010K2;Hillerød;997
2010K2;Hørsholm;437
2010K2;Rudersdal;822
2010K2;Bornholm;512
2010K2;Christiansø;0
2010K2;Region Sjælland;17230
2010K2;Greve;1238
2010K2;Køge;1443
2010K2;Lejre;383
2010K2;Roskilde;2258
2010K2;Solrød;513
2010K2;Faxe;641
2010K2;Guldborgsund;1191
2010K2;Holbæk;1219
2010K2;Kalundborg;829
2010K2;Lolland;1034
2010K2;Næstved;1624
2010K2;Odsherred;626
2010K2;Ringsted;728
2010K2;Slagelse;1769
2010K2;Sorø;516
2010K2;Stevns;333
2010K2;Vordingborg;885
2010K2;Region Syddanmark;26777
2010K2;Assens;651
2010K2;Faaborg-Midtfyn;819
2010K2;Kerteminde;388
2010K2;Langeland;163
2010K2;Middelfart;708
2010K2;Nordfyns;431
2010K2;Nyborg;687
2010K2;Odense;5627
2010K2;Svendborg;1011
2010K2;Ærø;32
2010K2;Billund;673
2010K2;Esbjerg;2771
2010K2;Fanø;30
2010K2;Fredericia;1433
2010K2;Haderslev;1105
2010K2;Kolding;2034
2010K2;Sønderborg;1585
2010K2;Tønder;739
2010K2;Varde;902
2010K2;Vejen;857
2010K2;Vejle;2509
2010K2;Aabenraa;1622
2010K2;Region Midtjylland;25932
2010K2;Favrskov;642
2010K2;Hedensted;709
2010K2;Horsens;1878
2010K2;Norddjurs;654
2010K2;Odder;303
2010K2;Randers;2157
2010K2;Samsø;45
2010K2;Silkeborg;1692
2010K2;Skanderborg;868
2010K2;Syddjurs;628
2010K2;Aarhus;9124
2010K2;Herning;1554
2010K2;Holstebro;1071
2010K2;Ikast-Brande;747
2010K2;Lemvig;193
2010K2;Ringkøbing-Skjern;863
2010K2;Skive;937
2010K2;Struer;269
2010K2;Viborg;1598
2010K2;Region Nordjylland;10751
2010K2;Brønderslev;529
2010K2;Frederikshavn;1182
2010K2;Hjørring;1125
2010K2;Jammerbugt;644
2010K2;Læsø;17
2010K2;Mariagerfjord;752
2010K2;Morsø;308
2010K2;Rebild;313
2010K2;Thisted;672
2010K2;Vesthimmerlands;670
2010K2;Aalborg;4539
2010K2;Uoplyst kommune;1439
2010K3;Hele landet;141304
2010K3;Region Hovedstaden;51528
2010K3;København;24174
2010K3;Frederiksberg;2257
2010K3;Dragør;196
2010K3;Tårnby;1803
2010K3;Albertslund;867
2010K3;Ballerup;1248
2010K3;Brøndby;893
2010K3;Gentofte;1763
2010K3;Gladsaxe;1330
2010K3;Glostrup;698
2010K3;Herlev;769
2010K3;Hvidovre;1402
2010K3;Høje-Taastrup;1272
2010K3;Ishøj;614
2010K3;Lyngby-Taarbæk;1355
2010K3;Rødovre;1074
2010K3;Vallensbæk;326
2010K3;Allerød;510
2010K3;Egedal;656
2010K3;Fredensborg;708
2010K3;Frederikssund;791
2010K3;Furesø;729
2010K3;Gribskov;751
2010K3;Halsnæs;714
2010K3;Helsingør;1707
2010K3;Hillerød;943
2010K3;Hørsholm;453
2010K3;Rudersdal;922
2010K3;Bornholm;603
2010K3;Christiansø;0
2010K3;Region Sjælland;19260
2010K3;Greve;1322
2010K3;Køge;1478
2010K3;Lejre;463
2010K3;Roskilde;2919
2010K3;Solrød;530
2010K3;Faxe;665
2010K3;Guldborgsund;1262
2010K3;Holbæk;1544
