TID;KOMK;INDHOLD
2010;København;528208
2010;Frederiksberg;96718
2010;Dragør;13564
2010;Tårnby;40383
2010;Albertslund;27730
2010;Ballerup;47652
2010;Brøndby;33795
2010;Gentofte;71052
2010;Gladsaxe;64102
2010;Glostrup;21296
2010;Herlev;26556
2010;Hvidovre;49724
2010;Høje-Taastrup;47664
2010;Ishøj;20606
2010;Lyngby-Taarbæk;52237
2010;Rødovre;36233
2010;Vallensbæk;14045
2010;Allerød;24089
2010;Egedal;41513
2010;Fredensborg;39226
2010;Frederikssund;44182
2010;Furesø;38232
2010;Gribskov;40694
2010;Halsnæs;31077
2010;Helsingør;61143
2010;Hillerød;47473
2010;Hørsholm;24378
2010;Rudersdal;54444
2010;Bornholm;42154
2010;Christiansø;101
2010;Greve;47826
2010;Køge;57125
2010;Lejre;26794
2010;Roskilde;81947
2010;Solrød;20882
2010;Faxe;35306
2010;Guldborgsund;62912
2010;Holbæk;69550
2010;Kalundborg;49265
2010;Lolland;46984
2010;Næstved;81112
2010;Odsherred;33030
2010;Ringsted;32584
2010;Slagelse;77475
2010;Sorø;29522
2010;Stevns;21931
2010;Vordingborg;46319
2010;Assens;42054
2010;Faaborg-Midtfyn;52085
2010;Kerteminde;23770
2010;Langeland;13510
2010;Middelfart;37661
2010;Nordfyns;29638
2010;Nyborg;31690
2010;Odense;188777
2010;Svendborg;58998
2010;Ærø;6679
2010;Billund;26160
2010;Esbjerg;115114
2010;Fanø;3219
2010;Fredericia;49849
2010;Haderslev;56346
2010;Kolding;89071
2010;Sønderborg;76439
2010;Tønder;39710
2010;Varde;50378
2010;Vejen;42768
2010;Vejle;106383
2010;Aabenraa;59978
2010;Favrskov;46529
2010;Hedensted;45982
2010;Horsens;81957
2010;Norddjurs;38148
2010;Odder;21721
2010;Randers;94750
2010;Samsø;4010
2010;Silkeborg;88481
2010;Skanderborg;57303
2010;Syddjurs;41392
2010;Aarhus;306650
2010;Herning;85548
2010;Holstebro;57056
2010;Ikast-Brande;40312
2010;Lemvig;21790
2010;Ringkøbing-Skjern;58439
2010;Skive;48137
2010;Struer;22483
2010;Viborg;93310
2010;Brønderslev;35804
2010;Frederikshavn;62007
2010;Hjørring;66803
2010;Jammerbugt;38927
2010;Læsø;1969
2010;Mariagerfjord;42604
2010;Morsø;21833
2010;Rebild;28852
2010;Thisted;45297
2010;Vesthimmerlands;38106
2010;Aalborg;197426
2025;København;667099
2025;Frederiksberg;105840
2025;Dragør;14450
2025;Tårnby;44034
2025;Albertslund;28117
2025;Ballerup;52939
2025;Brøndby;40401
2025;Gentofte;75076
2025;Gladsaxe;70958
2025;Glostrup;24869
2025;Herlev;30784
2025;Hvidovre;53760
2025;Høje-Taastrup;59059
2025;Ishøj;24365
2025;Lyngby-Taarbæk;58713
2025;Rødovre;44734
2025;Vallensbæk;18322
2025;Allerød;26128
2025;Egedal;45563
2025;Fredensborg;42186
2025;Frederikssund;47052
2025;Furesø;42540
2025;Gribskov;41797
2025;Halsnæs;31633
2025;Helsingør;63953
2025;Hillerød;54855
2025;Hørsholm;25168
2025;Rudersdal;57342
2025;Bornholm;38966
2025;Christiansø;90
2025;Greve;53536
2025;Køge;63335
2025;Lejre;29594
2025;Roskilde;91623
2025;Solrød;24732
2025;Faxe;37820
2025;Guldborgsund;59350
2025;Holbæk;74490
2025;Kalundborg;48103
2025;Lolland;39122
2025;Næstved;84895
2025;Odsherred;32225
2025;Ringsted;36286
2025;Slagelse;80481
2025;Sorø;30641
2025;Stevns;23612
2025;Vordingborg;45057
2025;Assens;40469
2025;Faaborg-Midtfyn;52284
2025;Kerteminde;23949
2025;Langeland;11973
2025;Middelfart;40318
2025;Nordfyns;29342
2025;Nyborg;32329
2025;Odense;210803
2025;Svendborg;60001
2025;Ærø;5881
2025;Billund;27168
2025;Esbjerg;115157
2025;Fanø;3270
2025;Fredericia;52616
2025;Haderslev;55354
2025;Kolding;95897
2025;Sønderborg;74096
2025;Tønder;36399
2025;Varde;49410
2025;Vejen;42702
2025;Vejle;122433
2025;Aabenraa;58621
2025;Favrskov;49359
2025;Hedensted;48167
2025;Horsens;97921
2025;Norddjurs;36658
2025;Odder;24083
2025;Randers;100356
2025;Samsø;3656
2025;Silkeborg;101574
2025;Skanderborg;65760
2025;Syddjurs;44101
2025;Aarhus;373388
2025;Herning;90006
2025;Holstebro;59201
2025;Ikast-Brande;43009
2025;Lemvig;18800
2025;Ringkøbing-Skjern;55582
2025;Skive;44328
2025;Struer;20229
2025;Viborg;97621
2025;Brønderslev;36706
2025;Frederikshavn;57882
2025;Hjørring;63311
2025;Jammerbugt;37954
2025;Læsø;1719
2025;Mariagerfjord;41606
2025;Morsø;19520
2025;Rebild;30942
2025;Thisted;42698
2025;Vesthimmerlands;35818
2025;Aalborg;224612
